id	ec_numbers	KEGG
rxn01064	1.1.3.6	R01459
rxn01336	1.1.1.239|1.1.1.51|1.1.1.63	R01836
rxn01338	1.1.1.51|1.1.1.64	R01838
rxn03152	1.13.11.25	R04597
rxn06053	1.3.99.5	R01834
rxn16660	1.14.14.12	R09819
rxn16700	1.14.13.141	R09859
rxn16701	1.14.13.142	R09860
rxn16721	3.7.1.17	R09883
rxn16722	1.3.99.4	R09884
rxn16723		R09885
rxn16757		R09919
rxn16758	1.1.1.145|5.3.3.1	R09920
rxn16802	5.3.3.1	R09955
rxn16803	1.1.1.51	R09956
rxn16804	1.1.1.145|1.1.1.51	R09957
rxn31863	1.1.1.239|1.1.1.51|1.1.1.63	R01836
rxn31878	1.1.1.239|1.1.1.51|1.1.1.63	R01836
rxn33213	1.1.1.51|1.1.1.64	R01838
