id	ec_numbers	KEGG
rxn00874	2.3.1.16|2.3.1.9	R01177
rxn00943	3.1.2.2|3.1.2.22	R01274
rxn00945	1.3.1.38|1.3.1.8	R01278
rxn02678	1.3.1.38|1.3.1.8	R03776
rxn02680	2.3.1.16	R03778
rxn02719	1.3.1.38|1.3.1.8	R03856
rxn02802	1.3.1.38|1.3.1.8	R03989
rxn02804	2.3.1.155|2.3.1.16	R03991
rxn02911	4.2.1.17|4.2.1.74	R04170
rxn03239	1.1.1.211|1.1.1.35	R04737
rxn03240	4.2.1.17|4.2.1.74	R04738
rxn03241	4.2.1.17|4.2.1.74	R04740
rxn03242	1.1.1.211|1.1.1.35	R04741
rxn03243	2.3.1.16	R04742
rxn03244	1.1.1.211|1.1.1.35	R04743
rxn03245	4.2.1.17|4.2.1.74	R04744
rxn03246	1.1.1.211|1.1.1.35	R04745
rxn03247	4.2.1.17|4.2.1.74	R04746
rxn03248	2.3.1.16	R04747
rxn03249	1.1.1.211|1.1.1.35	R04748
rxn03250	4.2.1.-|4.2.1.17|4.2.1.74	R04749
rxn03252	1.3.1.38|1.3.1.8	R04753
rxn04793	1.3.1.38|1.3.1.8	R06985
rxn05826	1.3.1.8	R00385
rxn05831	2.3.1.16	R00391
rxn06037	1.1.1.-|1.1.1.211|1.1.1.35	R01778
rxn06038	1.1.1.330|1.1.1.36	R01779
rxn06216	4.2.1.-|4.2.1.134|4.2.1.17|4.2.1.74	R02685
rxn06510	2.3.1.16	R03858
rxn06777	1.1.1.211|1.1.1.35	R04739
rxn07194	1.3.1.38	R07162
rxn16256	2.3.1.-	R09419
rxn16287	1.3.1.-	R09449
rxn16288	3.1.2.2	R09450
rxn17810	3.1.2.2|3.1.2.22	R01274
rxn19662	4.2.1.17|4.2.1.74	R04170
rxn19663	4.2.1.17|4.2.1.74	R04746
rxn19664	4.2.1.17|4.2.1.74	R04738
rxn19666	4.2.1.-|4.2.1.17|4.2.1.74	R04749
rxn19668	4.2.1.17|4.2.1.74	R04744
rxn19967	2.3.1.155|2.3.1.16	R03991
rxn19968	2.3.1.16|2.3.1.9	R01177
rxn19970	2.3.1.16	R04742
rxn19974	2.3.1.16	R03858
rxn19976	2.3.1.16	R03778
rxn19977	2.3.1.16	R04747
rxn19979	2.3.1.155|2.3.1.16	R03991
rxn19980	2.3.1.16|2.3.1.9	R01177
rxn19982	2.3.1.16	R04742
rxn19986	2.3.1.16	R03858
rxn19988	2.3.1.16	R03778
rxn19989	2.3.1.16	R04747
rxn20474	1.1.1.211|1.1.1.35	R04737
rxn20478	1.1.1.211|1.1.1.35	R04741
rxn20479	1.1.1.211|1.1.1.35	R04745
rxn20480	1.1.1.211|1.1.1.35	R04743
rxn20481	1.1.1.211|1.1.1.35	R04748
rxn20502	3.1.2.2|3.1.2.22	R01274
rxn20503	3.1.2.2|3.1.2.22	R01274
rxn30370	4.2.1.17|4.2.1.74	R04740
rxn30390	1.1.1.211|1.1.1.35	R04739
rxn31837	1.3.1.38|1.3.1.8	R03856
rxn31841	1.3.1.38|1.3.1.8	R03856
rxn32086	1.3.1.38|1.3.1.8	R04753
rxn32093	1.3.1.38|1.3.1.8	R04753
rxn32209	1.3.1.38|1.3.1.8	R06985
rxn32210	1.3.1.38|1.3.1.8	R06985
rxn32848	1.3.1.38|1.3.1.8	R03989
rxn32850	1.3.1.38|1.3.1.8	R03989
rxn33068	1.3.1.38|1.3.1.8	R01278
rxn33082	1.3.1.38|1.3.1.8	R01278
rxn33325	1.3.1.38|1.3.1.8	R03776
rxn33327	1.3.1.38|1.3.1.8	R03776
rxn34728	4.2.1.-|4.2.1.17|4.2.1.74	R04749
rxn34729	4.2.1.17|4.2.1.74	R04746
rxn34730	4.2.1.17|4.2.1.74	R04744
rxn34731	4.2.1.17|4.2.1.74	R04170
rxn34732	4.2.1.17|4.2.1.74	R04740
rxn34733	4.2.1.17|4.2.1.74	R04738
rxn34734	1.1.1.211|1.1.1.35	R04748
rxn34735	1.1.1.211|1.1.1.35	R04745
rxn34736	1.1.1.211|1.1.1.35	R04743
rxn34737	1.1.1.211|1.1.1.35	R04741
rxn34738	1.1.1.211|1.1.1.35	R04739
rxn34739	1.1.1.211|1.1.1.35	R04737
rxn38808	1.3.1.38|1.3.1.8	R03856
rxn38811	1.3.1.38|1.3.1.8	R03856
