id	ec_numbers	KEGG
rxn02496	4.2.1.57	R03493
rxn02497	6.4.1.5	R03494
rxn02557	1.1.1.183	R03581
rxn07872	1.1.1.183	R08083
rxn07873	1.1.1.183|1.1.1.71	R08084
rxn07874	1.1.1.183|1.1.1.71	R08085
rxn07875	1.2.1.-|1.2.1.86	R08086
rxn07876	1.2.1.-	R08087
rxn07877	6.2.1.-	R08088
rxn07878	1.3.99.-	R08089
rxn07879	4.1.3.26|4.1.3.4	R08090
rxn07880	2.3.1.-|2.3.1.16	R08091
rxn07881	1.3.99.-	R08092
rxn07882	4.2.1.-|4.2.1.17	R08093
rxn07883	1.1.1.35	R08094
rxn07884	2.3.1.-|2.3.1.16	R08095
rxn07885	1.2.1.-	R08096
rxn07886	2.8.3.-	R08097
rxn07887	5.2.1.-	R08098
rxn07888		R08099
rxn11569	6.4.1.5	R03494
rxn35926	1.1.1.71	R10125
rxn36169	1.1.1.71	R10126
