id	ec_numbers	KEGG
rxn00968	1.13.11.41	R01305
rxn04685	1.97.1.-	R06876
rxn04686	1.97.1.-	R06877
rxn04687	1.97.1.-	R06878
rxn04688	1.97.1.-	R06879
rxn04689		R06880
rxn04690		R06881
rxn04691		R06882
rxn04692	1.14.-.-	R06883
rxn04693	1.14.13.-	R06884
rxn04694	4.2.1.-	R06885
rxn04695	1.3.-.-	R06886
rxn04696		R06887
rxn04697	1.14.-.-	R06888
rxn04698	1.13.-.-	R06889
rxn04699	1.14.13.-	R06890
rxn04700	1.1.1.-	R06891
rxn04701	1.14.13.84	R06892
rxn04702	3.1.1.-|3.1.1.2	R06893
rxn15967	1.14.-.-	R09102
rxn15968	1.1.-.-	R09103
rxn15969	1.14.-.-	R09104
rxn15970	3.1.1.-	R09105
rxn17099	1.14.13.84	R06892
rxn23405	3.1.1.-|3.1.1.2	R06893
rxn39287	1.13.11.41	R01305
rxn39777		R06880
rxn39778		R06887
rxn39779		R06889
rxn39780		R06892
rxn39781		R06893
