id	ec_numbers	KEGG
rxn00038	3.1.1.22	R00048
rxn00157	2.3.1.54	R00212
rxn00160	1.1.1.83	R00215
rxn00178	2.3.1.9	R00238
rxn00194	4.1.1.15	R00261
rxn00290	2.8.3.5	R00410
rxn00508	1.2.1.16|1.2.1.24	R00713
rxn00509	1.2.1.16|1.2.1.79	R00714
rxn00803	5.2.1.1	R01087
rxn00868	1.3.1.44|1.3.8.1	R01171
rxn00869	1.2.1.10|1.2.1.57|1.2.1.87	R01172
rxn00870	1.2.1.57	R01173
rxn00871	2.3.1.19	R01174
rxn00872	1.3.3.6|1.3.8.1|1.3.99.-|1.3.99.2|1.3.99.3	R01175
rxn00873	6.2.1.2|6.2.1.3	R01176
rxn00875	2.8.3.8	R01179
rxn00988	6.2.1.16	R01357
rxn00989	3.1.2.11	R01358
rxn00991	4.1.3.4	R01360
rxn00992	1.1.1.30	R01361
rxn00996	4.2.1.27	R01367
rxn01201	1.1.1.61|1.2.1.16	R01644
rxn01204	2.6.1.19	R01648
rxn01236	2.7.2.7	R01688
rxn01451	1.1.1.211|1.1.1.35	R01975
rxn01452	1.1.1.157	R01976
rxn01453	1.1.1.36	R01977
rxn01454	2.3.3.10|4.1.3.5	R01978
rxn01745	4.2.1.31	R02419
rxn02112	1.1.1.4	R02946
rxn02115	5.1.2.4	R02949
rxn02167	4.2.1.-|4.2.1.17|4.2.1.55	R03026
rxn02168	4.2.1.55	R03027;R9
rxn02169	4.1.1.70|7.2.4.e	R03028
rxn02171	5.3.3.3	R03031
rxn02345	5.1.2.3	R03276
rxn02519	1.1.99.2	R03534
rxn02527	1.1.1.-	R03544
rxn02528	1.1.1.-	R03545
rxn02768	4.2.1.-|4.2.1.167	R03937
rxn02810	2.8.3.12	R04000
rxn03468	1.2.1.3	R05119
rxn03469	1.2.99.3	R05120
rxn03470		R05121
rxn03641	2.8.3.-	R05336
rxn03642	4.2.1.120	R05337
rxn06109	1.3.5.1	R02164
rxn06858	3.1.1.75	R05118
rxn13974	1.2.7.-|1.2.7.1	R01196
rxn15021	2.2.1.6|4.1.3.18	R00226
rxn15373	1.1.1.303	R02855
rxn15383	4.1.1.5	R02948
rxn15407	1.1.99.2	R03534
rxn15408	1.1.99.2	R03534
rxn15438	2.8.3.12	R04000
rxn15439	2.8.3.12	R04000
rxn15455	2.3.1.-	R04254
rxn16140	1.2.1.76	R09280
rxn16141	1.1.1.-|1.1.1.co|1.2.1.16	R09281
rxn16586	1.3.1.38|1.3.1.86	R09738
rxn19031	2.3.1.9	R00238
rxn19669	4.2.1.-|4.2.1.17|4.2.1.55	R03026
rxn19673	1.1.1.-	R03545
rxn19742	2.6.1.19	R01648
rxn19825	4.1.1.70|7.2.4.e	R03028
rxn20475	1.1.1.211|1.1.1.35	R01975
rxn21328	1.1.1.4	R10504
rxn21329	1.1.1.4	R10505
rxn23000	1.3.1.44|1.3.8.1	R01171
rxn24212	2.6.1.-|2.6.1.19|2.6.1.96	R10178
rxn24213	2.6.1.-|2.6.1.19|2.6.1.96	R10178
rxn25164	2.8.3.18	R10343
rxn25165	2.8.3.18	R10343
rxn25216	2.8.3.-	R05336
rxn27251	1.2.1.16|1.2.1.24	R00713
rxn27455	1.1.1.211|1.1.1.35	R01975
rxn27539	1.1.1.30	R01361
rxn27664	2.2.1.6|4.1.3.18	R00226
rxn27867	2.6.1.19	R01648
rxn27937	4.1.3.4	R01360
rxn28121	2.3.1.54	R00212
rxn28328	2.6.1.-|2.6.1.19|2.6.1.96	R10178
rxn29002	1.2.1.16|1.2.1.79	R00714
rxn30334	2.2.1.6|4.1.3.18	R00226
rxn30395	2.3.3.10|4.1.3.5	R01978
rxn30643	1.3.5.1	R02164
rxn30763	4.2.1.55	R03027;R9
rxn31209	2.3.1.9	R00238
rxn31210	2.3.1.9	R00238
rxn31316	2.3.1.-	R04254
rxn31317	2.3.1.-	R04254
rxn31318	2.3.1.-	R04254
rxn31412	1.3.3.6|1.3.8.1|1.3.99.-|1.3.99.2|1.3.99.3	R01175
rxn31470	4.2.1.120	R05337
rxn31894	1.2.1.16|1.2.1.24	R00713
rxn32195	1.2.1.16|1.2.1.79	R00714
rxn32364	1.1.1.157	R01976
rxn32931	1.2.99.3	R05120
rxn32933	1.2.99.3	R05120
rxn33160	1.2.1.3	R05119
rxn33206	1.2.1.3	R05119
rxn34258	2.3.1.54	R00212
rxn34627	1.2.1.10|1.2.1.57|1.2.1.87	R01172
rxn34630	4.2.1.-|4.2.1.17|4.2.1.55	R03026
rxn34632	1.1.1.157	R01976
rxn34633	1.1.1.30	R01361
rxn34786	4.1.1.15	R00261
rxn35453	1.2.7.-|1.2.7.1	R01196
rxn38807	1.3.1.38|1.3.1.86	R09738
rxn38810	1.3.1.38|1.3.1.86	R09738
rxn38971	1.1.1.-|1.1.1.co|1.2.1.16	R09281
rxn38972	1.1.1.61|1.2.1.16	R01644
rxn39326		R02164
rxn39373	1.1.1.4	R02946
rxn39374	5.1.2.4	R02949
rxn39483		R05118
rxn40288		R10506
rxn48571	1.3.5.1	R02164
