id	ec_numbers	KEGG
rxn00178	2.3.1.9	R00238
rxn00829	4.1.1.33	R01121
rxn00830	5.3.3.2	R01123
rxn01213	2.5.1.1	R01658
rxn01454	2.3.3.10|4.1.3.5	R01978
rxn01466	2.5.1.10	R02003
rxn01486	2.5.1.29	R02061
rxn01487	1.3.1.83	R02063
rxn01500	1.1.1.88	R02081
rxn01501	1.1.1.34	R02082
rxn01607	2.7.1.36	R02245
rxn02322	2.7.4.2	R03245
rxn02337	1.1.1.216	R03264
rxn03907	2.7.7.60	R05633
rxn03908	2.7.1.148	R05634
rxn03909	2.2.1.7	R05636
rxn03910	4.6.1.12	R05637
rxn03958	1.1.1.267	R05688
rxn04113	1.17.1.2	R05884
rxn04308	2.5.1.31	R06447
rxn04996	1.17.1.2	R07219
rxn06710	2.1.1.100	R04496
rxn08352	1.17.1.2	R08210
rxn08756	1.17.1.2	R08209
rxn09037	2.5.1.90	R09248
rxn09345	2.5.1.31	R06447
rxn10785	2.5.1.91	R09249
rxn11733	4.2.3.27	R08199
rxn11886		R08375
rxn13477	2.5.1.83	R09245
rxn14070	1.17.7.1	R08689
rxn14080	3.1.7.6	R08697
rxn14126	2.5.1.68	R08528
rxn15434	2.5.1.20	R03917
rxn15542	2.5.1.87	R05556
rxn16106	2.5.1.86	R09244
rxn16107	2.5.1.82	R09246
rxn16108	2.5.1.30	R09247
rxn16110	2.5.1.84	R09250
rxn16111	2.5.1.85	R09251
rxn16406	1.8.3.5|1.8.3.6	R09562
rxn16477	2.5.1.92	R09633
rxn16578	2.5.1.89	R09730
rxn16579	2.5.1.88	R09731
rxn16685	2.5.1.58	R09844
rxn16686	3.4.22.-|3.4.24.84	R09845
rxn16687	3.1.1.-	R09846
rxn16688		R09847
rxn16689		R09848
rxn16690	2.7.1.-	R09849
rxn16691	2.7.4.-|2.7.4.32	R09850
rxn16887	1.1.1.34	R02082
rxn16888	1.1.1.34	R02082
rxn16889	1.1.1.34	R02082
rxn19031	2.3.1.9	R00238
rxn19646	1.1.1.267	R05688
rxn19689	2.5.1.29	R02061
rxn19690	2.5.1.29	R02061
rxn19691	2.5.1.29	R02061
rxn19730	2.5.1.10	R02003
rxn19872	2.5.1.1	R01658
rxn19935	5.3.3.2	R01123
rxn19936	5.3.3.2	R01123
rxn19956	1.17.1.2	R05884
rxn19957	1.17.1.2	R08209
rxn20204	2.7.1.36	R02245
rxn20592	2.7.4.2	R03245
rxn20839	2.7.4.-|2.7.4.26	R10093
rxn20986	1.3.1.83	R02063
rxn21865	2.5.1.85	R09251
rxn21866	2.5.1.85	R09251
rxn22000	1.8.3.5|1.8.3.6	R09562
rxn26480	1.17.1.2	R07219
rxn26481	1.17.1.2	R08210
rxn27458	1.1.1.34	R02082
rxn27525	2.7.1.148	R05634
rxn27529	2.7.7.60	R05633
rxn27845	2.2.1.7	R05636
rxn27938	1.1.1.88	R02081
rxn28413	2.5.1.90	R09248
rxn28414	2.5.1.90	R09248
rxn28646	4.6.1.12	R05637
rxn29018	2.5.1.30	R09247
rxn29019	2.5.1.30	R09247
rxn29020	2.5.1.84	R09250
rxn29021	2.5.1.84	R09250
rxn29022	2.5.1.83	R09245
rxn29023	2.5.1.83	R09245
rxn30395	2.3.3.10|4.1.3.5	R01978
rxn31209	2.3.1.9	R00238
rxn31210	2.3.1.9	R00238
rxn31309	2.5.1.31	R06447
rxn32376	2.5.1.31	R06447
rxn32619	1.17.7.1	R08689
rxn32661	3.1.1.-	R09846
rxn33099	2.1.1.100	R04496
rxn37386	2.5.1.90	R09248
rxn37685	1.1.1.88	R02081
rxn37869	1.1.1.34	R02082
rxn37870	1.1.1.34	R02082
rxn37871	1.1.1.34	R02082
rxn38099	2.5.1.29	R02061
rxn38104	2.5.1.10	R02003
rxn38135	2.5.1.1	R01658
rxn38340	2.5.1.82	R09246
rxn39932	2.5.1.91	R09249
rxn40324	4.1.1.99	R10561
