kegg	mnx_id	bigg	seed	metacyc	description	ambiguous
C06435	MNXM37800		cpd03856		5'-Butyrylphosphoinosine||Inosine 5'-phosphobutyrate	
C06436	MNXM37801		cpd03857		5'-Butyrylphosphouridine	
C06437	MNXM728233				1,3-Diacylglycerol	
C06438	MNXM740252	HC02208	cpd03858	CPD-24706	Prostaglandin D1	
C06439	MNXM740257		cpd03859	CPD-25818	Prostaglandin E3	
C06440	MNXM34981		cpd03860		2-Dehydro-D-glucono-1,5-lactone	
C06441	MNXM738645				L-Xylulose 1-phosphate	
C06442	MNXM2023		cpd03862	N-ACETYL-L-24-DIAMINOBUTANOATE	N(gamma)-Acetyldiaminobutyrate||(2S)-4-Acetamido-2-aminobutanoate||N4-Acetyl-L-2,4-diaminobutanoate||N4-Acetyl-L-2,4-diaminobutyrate	
C06443	MNXM736406		cpd03863		Hydroxamate||Hydroxamic acid	
C06446	MNXM734659		cpd03865		2-N,6-N-Bis(2,3-dihydroxybenzoyl)-L-lysine	
C06447	MNXM734661		cpd03866		2-N,6-N-Bis(2,3-dihydroxybenzoyl)-L-lysine amide	
C06450	MNXM738950		cpd03869		Myxochelin C	
C06451	MNXM2067		cpd03870	CPD-9466	2-Hydroxyethylphosphonate||(2-Hydroxyethyl)-phosphonic acid	
C06452	MNXM732953		cpd03871	CPD-9465	(S)-2-Hydroxypropylphosphonate	
C06453	MNXM727391	C06453	cpd12878	CPD-9037	Methylcobalamin||Methylcob(III)alamin	
C06454	MNXM3733		cpd03872	CPD0-1113	Fosfomycin||(1R,2S)-Epoxypropylphosphonate||Phosphonomycin	
