kegg	mnx_id	bigg	seed	metacyc	description	ambiguous
C00002	MNXM3	atp	cpd00002	ATP	ATP||Adenosine 5'-triphosphate	
C00003	MNXM8	nad	cpd00003	NAD	NAD||DPN||Diphosphopyridine nucleotide||NAD||Nadide||Nicotinamide adenine dinucleotide||beta-NAD+	
C00004	MNXM10	nadh	cpd00004	NADH	NADH||DPNH||Reduced nicotinamide adenine dinucleotide	
C00005	MNXM738702	nadph	cpd00005	NADPH	NADPH||Reduced nicotinamide adenine dinucleotide phosphate||TPNH	
C00006	MNXM5	nadp	cpd00006	NADP	NADP||NADP||Nicotinamide adenine dinucleotide phosphate||TPN||Triphosphopyridine nucleotide||beta-NADP+||beta-Nicotinamide adenine dinucleotide phosphate	
C00007	MNXM735438	o2	cpd00007	OXYGEN-MOLECULE	Oxygen||O2	
C00008	MNXM40333	adp	cpd00008|cpd22244	ADP|ADP-GROUP	ADP||Adenosine 5'-diphosphate	seed(2),metacyc(2)
C00010	MNXM727276	coa	cpd00010	CO-A|COA-GROUP	CoA||CoA-SH||Coenzyme A	metacyc(2)
C00011	MNXM13	co2	cpd00011	CARBON-DIOXIDE	CO2||Carbon dioxide	
C00012	MNXM729064				Peptide	
C00013	MNXM11	ppi	cpd00012|cpd27828	PPI|PYROPHOSPHATE-GROUP	Diphosphate||Diphosphoric acid||PPi||Pyrophosphate||Pyrophosphoric acid	seed(2),metacyc(2)
C00014	MNXM729302	nh3|nh4	cpd00013|cpd19013	AMMONIA|AMMONIUM	Ammonia||NH3	kegg(2),bigg(2),seed(2),metacyc(2)
C00015	MNXM1102128	udp	cpd00014	UDP|UDP-GROUP	UDP||Uridine 5'-diphosphate	metacyc(2)
C00016	MNXM1364149	fad	cpd00015	FAD	FAD||Flavin adenine dinucleotide	
C00017	MNXM733321				Protein	
C00018	MNXM161	pydx5p	cpd00016	PYRIDOXAL_PHOSPHATE	Pyridoxal phosphate||PLP||Pyridoxal 5'-phosphate||Pyridoxal 5-phosphate	
C00019	MNXM1363767	amet	cpd00017	S-ADENOSYLMETHIONINE	S-Adenosyl-L-methionine||AdoMet||S-Adenosylmethionine||SAM	
C00020	MNXM728294	amp	cpd00018	AMP|AMP-GROUP	AMP||5'-AMP||5'-Adenosine monophosphate||5'-Adenylic acid||Adenosine 5'-monophosphate||Adenosine 5'-phosphate||Adenylate||Adenylic acid	metacyc(2)
C00021	MNXM1102167	ahcys	cpd00019	ADENOSYL-HOMO-CYS	S-Adenosyl-L-homocysteine||S-Adenosylhomocysteine	
C00022	MNXM23	pyr	cpd00020	PYRUVATE	Pyruvate||2-Oxopropanoate||2-Oxopropanoic acid||Pyroracemic acid||Pyruvic acid	
C00023	MNXM726710		cpd00021		Iron	
C00024	MNXM1104266	accoa	cpd00022	ACETYL-COA	Acetyl-CoA||Acetyl coenzyme A	
C00025	MNXM741173	glu__L	cpd00023	GLT	L-Glutamate||Glutamate||L-Glutamic acid||L-Glutaminic acid	
C00026	MNXM1368744	akg	cpd00024|cpd32228	2-KETOGLUTARATE	2-Oxoglutarate||2-Ketoglutaric acid||Oxoglutaric acid||alpha-Ketoglutaric acid	seed(2)
C00027	MNXM732620	h2o2	cpd00025	HYDROGEN-PEROXIDE	Hydrogen peroxide||H2O2||Oxydol	
C00029	MNXM1364019	udpg	cpd00026|cpd28293	CPD-12575	UDP-glucose||UDP-D-glucose||UDP-alpha-D-glucose||UDPglucose||Uridine diphosphate glucose	seed(2)
C00030	MNXM1102419				Reduced acceptor||AH2||Donor||Hydrogen-donor	
C00031	MNXM1364061	glc__D	cpd00027	Glucopyranose|Hederagenin-Monoglucosides|Soyasapogenol-B-Monoglucosides|Soyasapogenol-E-Monoglucosides	D-Glucose||D-Glucopyranose||Dextrose||Glucose||Grape sugar	metacyc(4)
C00032	MNXM249	pheme		PROTOHEME	Heme||Haem||Heme B||Protoheme||Protoheme IX	
C00033	MNXM26	ac	cpd00029	ACET|CPD-24335	Acetate||Acetic acid||Ethanoic acid	metacyc(2)
C00034	MNXM1932		cpd37272		Manganese	
C00035	MNXM1103285	gdp	cpd00031	GDP|GDP-GROUP	GDP||Guanosine 5'-diphosphate||Guanosine diphosphate	metacyc(2)
C00036	MNXM46	oaa	cpd00032	OXALACETIC_ACID	Oxaloacetate||2-Oxobutanedioic acid||2-Oxosuccinic acid||Oxalacetic acid||Oxaloacetic acid||keto-Oxaloacetate	
C00037	MNXM29	gly	cpd00033	GLY|Phosphorylated-Amino-Acids	Glycine||Aminoacetic acid||Gly	metacyc(2)
C00038	MNXM729215	HC02172|zn2	cpd00034	ZN+2	Zinc cation||Zinc ion||Zn(II)||Zn2+	bigg(2)
C00039	MNXM634	dna	cpd11461	DNA-Holder	DNA||(Deoxyribonucleotide)m||(Deoxyribonucleotide)n||(Deoxyribonucleotide)n+m||DNAn||DNAn+1||Deoxyribonucleic acid	
C00040	MNXM729259				Acyl-CoA||Acyl coenzyme A	
C00041	MNXM1105732	ala__L	cpd00035	L-ALPHA-ALANINE	L-Alanine||L-2-Aminopropionic acid||L-alpha-Alanine	
C00042	MNXM25	succ	cpd00036	SUC	Succinate||Butanedionic acid||Ethylenesuccinic acid||Succinic acid	
C00043	MNXM1104529	uacgam	cpd00037	UDP-N-ACETYL-D-GLUCOSAMINE	UDP-N-acetyl-alpha-D-glucosamine||UDP-N-acetyl-D-glucosamine||UDP-N-acetylglucosamine	
C00044	MNXM1103553	gtp	cpd00038	GTP	GTP||Guanosine 5'-triphosphate	
C00045	MNXM735845				Amino acid||Amino acids	
C00047	MNXM1364268	lys__L	cpd00039|cpd19182	LYS	L-Lysine||2,6-Diaminohexanoic acid||Lysine acid	kegg(2),seed(2)
C00048	MNXM69	glx	cpd00040	GLYOX	Glyoxylate||Glyoxalate||Glyoxylic acid	
C00049	MNXM1364497	asp__L	cpd00041	L-ASPARTATE	L-Aspartate||2-Aminosuccinic acid||L-Asp||L-Aspartic acid	
C00050	MNXM61531		cpd11614		Metal	
C00051	MNXM490899	gthrd	cpd00042	GLUTATHIONE|GSH-Group	Glutathione||5-L-Glutamyl-L-cysteinylglycine||GSH||N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine||Reduced glutathione||gamma-L-Glutamyl-L-cysteinyl-glycine	metacyc(2)
C00052	MNXM1104754	udpgal	cpd00043|cpd30770	CPD-14553	UDP-alpha-D-galactose||UDP-D-galactopyranose||UDP-D-galactose||UDP-alpha-D-galactopyranose||UDP-galactose	seed(2)
C00053	MNXM1104555	paps	cpd00044	PAPS	3'-Phosphoadenylyl sulfate||3'-Phospho-5'-adenylyl sulfate||3'-Phosphoadenosine 5'-phosphosulfate||PAPS	
C00054	MNXM1103458	pap	cpd00045	3-5-ADP	Adenosine 3',5'-bisphosphate||3'-Phosphoadenylate||PAP||Phosphoadenosine phosphate	
C00055	MNXM1103302	cmp	cpd00046	CMP|CMP-GROUP	CMP||Cytidine-5'-monophosphate||Cytidylic acid	metacyc(2)
C00058	MNXM39	for	cpd00047|cpd22511	CARBOXYL-GROUP|CPD1G-1532|CPD1G-1533|CPD1G-1534|CPD1G-1535|FORMATE	Formate||Formic acid||Methanoic acid	seed(2),metacyc(6)
C00059	MNXM58	so4	cpd00048|cpd29301	HSO4|SULFATE	Sulfate||Sulfuric acid	seed(2),metacyc(2)
C00060	MNXM739615				Carboxylate||Carboxylic acid||Monocarboxylate||R-COOH	
C00061	MNXM1364147	fmn	cpd00050	Oxidized-flavodoxins	FMN||Flavin mononucleotide||Riboflavin-5-phosphate	
C00062	MNXM739527	arg__L	cpd00051	ARG	L-Arginine||(S)-2-Amino-5-guanidinovaleric acid||L-Arg	
C00063	MNXM1103718	ctp	cpd00052	CTP	CTP||Cytidine 5'-triphosphate||Cytidine triphosphate	
C00064	MNXM37	gln__L	cpd00053|cpd00253	GLN	L-Glutamine||L-2-Aminoglutaramic acid	kegg(2),seed(2)
C00065	MNXM737787	ser__L	cpd00054	SER	L-Serine||L-2-Amino-3-hydroxypropionic acid||L-3-Hydroxy-alanine||Serine	
C00067	MNXM1364673	fald	cpd00055	CARBONYL-GROUP|D-Ketoses|FORMALDEHYDE|FORMYL-GROUP|L-Ketoses	Formaldehyde||Formalin||Methanal||Methylene oxide||Oxomethane||Oxomethylene	metacyc(5)
C00068	MNXM256	thmpp	cpd00056	THIAMINE-PYROPHOSPHATE	Thiamin diphosphate||TPP||ThPP||Thiamin pyrophosphate||Thiamine diphosphate	
C00069	MNXM730842				Alcohol	
C00070	MNXM731165		cpd37270		Copper	
C00071	MNXM277		cpd11616	Aldehydes	Aldehyde||RCHO	
C00072	MNXM727871	ascb__L	cpd00059	ASCORBATE	Ascorbate||Ascorbic acid||L-Ascorbate||L-Ascorbic acid||Vitamin C	
C00073	MNXM738804	met__L	cpd00060	MET	L-Methionine||L-2-Amino-4methylthiobutyric acid||Methionine	
C00074	MNXM73	pep	cpd00061	PHOSPHO-ENOL-PYRUVATE	Phosphoenolpyruvate||PEP||Phosphoenolpyruvic acid	
C00075	MNXM1101474	utp	cpd00062	UTP	UTP||Uridine 5'-triphosphate||Uridine triphosphate	
C00076	MNXM128	ca2	cpd00063|cpd29674	CA+2	Calcium cation||Ca2+||Calcium ion||Calcium(2+)	seed(2)
C00077	MNXM741175	orn|orn__L	cpd00064	L-ORNITHINE	L-Ornithine||(S)-2,5-Diaminopentanoate||(S)-2,5-Diaminopentanoic acid||(S)-2,5-Diaminovaleric acid	bigg(2)
C00078	MNXM741553	trp__L	cpd00065|cpd19007	TRP	L-Tryptophan||(S)-alpha-Amino-beta-(3-indolyl)-propionic acid||Tryptophan	kegg(2),seed(2)
C00079	MNXM741664	phe__L	cpd00066	PHE	L-Phenylalanine||(S)-alpha-Amino-beta-phenylpropionic acid	
C00080	MNXM1	h	cpd00067	PROTON	H||Hydron	
C00081	MNXM1103428	itp	cpd00068	ITP	ITP||Inosine 5'-triphosphate||Inosine triphosphate||Inosine tripolyphosphate	
C00082	MNXM76	tyr__L	cpd00069|cpd30745	TYR	L-Tyrosine||(S)-2-Amino-3-(p-hydroxyphenyl)propionic acid||(S)-3-(p-Hydroxyphenyl)alanine||Tyrosine	kegg(2),seed(2)
C00083	MNXM1106093	malcoa	cpd00070	MALONYL-COA	Malonyl-CoA||Malonyl coenzyme A	
C00084	MNXM75	acald	cpd00071	ACETALD	Acetaldehyde||Ethanal	
C00085	MNXM1107898	f6p	cpd00072|cpd19035	CPD-18719|FRUCTOSE-6P	D-Fructose 6-phosphate||D-Fructose 6-phosphoric acid||Neuberg ester	kegg(2),seed(2),metacyc(2)
C00086	MNXM117	urea	cpd00073	UREA	Urea||Carbamide	
C00087	MNXM1107418	s	cpd00074|cpd27311	Elemental-Sulfur|Intracellular-Sulfur	Sulfur||Elemental sulfur||S	seed(2),metacyc(2)
C00088	MNXM107	no2	cpd00075	NITRITE	Nitrite	
C00089	MNXM1104180	sucr	cpd00076	SUCROSE	Sucrose||1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside||Cane sugar||Saccharose	
C00090	MNXM731896	catechol	cpd00077|cpd01232	CATECHOL	Catechol||1,2-Benzenediol||1,2-Dihydroxybenzene||Brenzcatechin||Pyrocatechol||o-Benzenediol	kegg(3),seed(2)
C00091	MNXM1104774	succoa	cpd00078	SUC-COA	Succinyl-CoA||Succinyl coenzyme A	
C00092	MNXM1364111	g6p	cpd00079|cpd26836	D-glucopyranose-6-phosphate	D-Glucose 6-phosphate||Glucose 6-phosphate||Robison ester	seed(2)
C00093	MNXM66	glyc3p	cpd00080	GLYCEROL-3P	sn-Glycerol 3-phosphate||D-Glycerol 1-phosphate||Glycerophosphoric acid	
C00094	MNXM726339	so3	cpd00081	H2SO3|HSO3|SO3	Sulfite||Sulfurous acid	kegg(2),metacyc(3)
C00095	MNXM1363862		cpd00082|cpd19102|cpd27040	Fructofuranose	D-Fructose||D-arabino-Hexulose||Fruit sugar||Levulose	seed(3)
C00096	MNXM1104188	gdpmann	cpd00083	GDP-MANNOSE	GDP-mannose||GDP-D-mannose||GDP-alpha-D-mannose	
C00097	MNXM738068	cys__L	cpd00084	CYS	L-Cysteine||L-2-Amino-3-mercaptopropionic acid	
C00099	MNXM144	ala_B	cpd00085	B-ALANINE	beta-Alanine||3-Aminopropanoate||3-Aminopropionic acid	
C00100	MNXM1364266	ppcoa	cpd00086	PROPIONYL-COA	Propanoyl-CoA||Propionyl coenzyme A||Propionyl-CoA	
C00101	MNXM1103936	thf	cpd00087	THF	Tetrahydrofolate||(6S)-THFA||(6S)-Tetrahydrofolate||(6S)-Tetrahydrofolic acid||5,6,7,8-Tetrahydrofolate||THF||Tetrahydrofolic acid	
C00102	MNXM4271		cpd00088	DCPIP	2,6-Dichloroindophenol||2,6-Dichlorophenolindophenol||DCIP	
C00103	MNXM1364214		cpd00089	GLC-1-P	D-Glucose 1-phosphate||Cori ester||D-Glucose alpha-1-phosphate||alpha-D-Glucose 1-phosphate	
C00104	MNXM1104559	idp	cpd00090	IDP	IDP||Inosine 5'-diphosphate||Inosine diphosphate	
C00105	MNXM1104823	ump	cpd00091	UMP	UMP||5'Uridylic acid||Uridine 5'-monophosphate||Uridine monophosphate||Uridylate||Uridylic acid	
C00106	MNXM1368456	ura		URACIL	Uracil	
C00107	MNXM1104002				Dipeptide	
C00108	MNXM188	anth	cpd00093	ANTHRANILATE	Anthranilate||2-Aminobenzoate||Anthranilic acid||Vitamin L1||o-Aminobenzoic acid	
C00109	MNXM159	2obut	cpd00094	2-OXOBUTANOATE	2-Oxobutanoate||2-Ketobutyric acid||2-Oxobutanoic acid||2-Oxobutyrate||2-Oxobutyric acid||alpha-Ketobutyrate||alpha-Ketobutyric acid	
C00110	MNXM1107957		cpd11619		Dolichyl phosphate||Dolichol phosphate	
C00111	MNXM77	dhap	cpd00095	DIHYDROXY-ACETONE-PHOSPHATE	Glycerone phosphate||3-Hydroxy-2-oxopropyl phosphate||Dihydroxyacetone phosphate	
C00112	MNXM1102191	cdp	cpd00096	CDP|CDP-GROUP	CDP||Cytidine 5'-diphosphate||Cytidine diphosphate	metacyc(2)
C00113	MNXM601	pqq	cpd00097	PQQ	PQQ||4,5-Dioxo-4,5-dihydro-1H-pyrrolo[2,3-f]quinoline-2,7,9-tricarboxylate||Methoxatin||Pyrrolo-quinoline quinone||Pyrroloquinoline quinone||Pyrroloquinoline-quinone	
C00117	MNXM1363910	r5p	cpd00101|cpd19028	CPD-15317|CPD-15318	D-Ribose 5-phosphate||Ribose 5-phosphate	kegg(2),seed(2),metacyc(2)
C00118	MNXM1372045		cpd00102	GAP	D-Glyceraldehyde 3-phosphate||(2R)-2-Hydroxy-3-(phosphonooxy)-propanal||Glyceraldehyde 3-phosphate	
C00119	MNXM1104453	prpp	cpd00103	PRPP	5-Phospho-alpha-D-ribose 1-diphosphate||5-Phosphoribosyl 1-pyrophosphate||5-Phosphoribosyl diphosphate||PRPP	
C00120	MNXM304	btn	cpd00104	BIOTIN	Biotin||Coenzyme R||D-Biotin||Vitamin H	
C00121	MNXM1108051	rib__D	cpd00105	D-Ribofuranose	D-Ribose	
C00122	MNXM737340	fum	cpd00106	FUM	Fumarate||Fumaric acid||trans-Butenedioic acid	
C00123	MNXM1106761	leu__L	cpd00107|cpd15143	LEU	L-Leucine||(2S)-alpha-2-Amino-4-methylvaleric acid||(2S)-alpha-Leucine||2-Amino-4-methylvaleric acid	kegg(2),seed(2)
C00124	MNXM1108176		cpd00108	D-galactopyranose	D-Galactose||D-Galactopyranose	
C00125	MNXM731952				Ferricytochrome c||Cytochrome c3+	
C00126	MNXM731957				Ferrocytochrome c||Cytochrome c2+||Reduced cytochrome c	
C00127	MNXM1371191	gthox	cpd00111	OXIDIZED-GLUTATHIONE	Glutathione disulfide||GSSG||Oxidized glutathione||Oxiglutatione	
C00128	MNXM1103953	cmpacna	cpd00112	CMP-N-ACETYL-NEURAMINATE	CMP-N-acetylneuraminate||CMP-N-acetyl-beta-neuraminate	
C00129	MNXM83	ipdp	cpd00113	DELTA3-ISOPENTENYL-PP	Isopentenyl diphosphate||3-Methylbut-3-en-1-yl diphosphate||Delta3-Isopentenyl diphosphate||Delta3-Methyl-3-butenyl diphosphate	
C00130	MNXM1101868	imp	cpd00114	IMP	IMP||5'-IMP||5'-Inosinate||5'-Inosine monophosphate||5'-Inosinic acid||Inosine 5'-monophosphate||Inosine 5'-phosphate||Inosine monophosphate||Inosinic acid	
C00131	MNXM286	datp	cpd00115	DATP	dATP||2'-Deoxyadenosine 5'-triphosphate||Deoxyadenosine 5'-triphosphate||Deoxyadenosine triphosphate	
C00132	MNXM729799	meoh	cpd00116	ALCOHOL-GROUP|METOH	Methanol||CH3OH||Methyl alcohol	metacyc(2)
C00133	MNXM1105731	ala__D	cpd00117	D-ALANINE	D-Alanine||D-2-Aminopropionic acid||D-Ala	
C00134	MNXM118	ptrc	cpd00118|cpd12215	PUTRESCINE	Putrescine||1,4-Butanediamine||1,4-Diaminobutane||Butane-1,4-diamine||Tetramethylenediamine	seed(2)
C00135	MNXM1107769	his__L	cpd00119|cpd00572	HIS	L-Histidine||(S)-alpha-Amino-1H-imidazole-4-propionic acid	kegg(2),seed(2)
C00136	MNXM1104300	btcoa	cpd00120	BUTYRYL-COA	Butanoyl-CoA||Butyryl-CoA	
C00137	MNXM1105941	inost	cpd00121	MYO-INOSITOL	myo-Inositol||1D-myo-Inositol||1L-myo-Inositol||Bios I||Cyclohexitol||D-myo-Inositol||Dambose||Inositol||L-myo-Inositol||Meat sugar||meso-Inositol	
C00138	MNXM169	fdxrd	cpd11620	Reduced-ferredoxins	Reduced ferredoxin||Reduced ferredoxin [iron-sulfur] cluster	
C00139	MNXM178	fdxo_2_2|fdxox	cpd11621	Oxidized-ferredoxins	Oxidized ferredoxin||Oxidized ferredoxin [iron-sulfur] cluster	bigg(2)
C00140	MNXM1105935	acgam	cpd00122|cpd02006|cpd27608|cpd27610	N-acetyl-D-glucosamine|N-acetyl-D-hexosamines	N-Acetyl-D-glucosamine||2-Acetamido-2-deoxy-D-glucose||GlcNAc||N-Acetylchitosamine	kegg(2),seed(4),metacyc(2)
C00141	MNXM732866	3mob	cpd00123	2-KETO-ISOVALERATE	3-Methyl-2-oxobutanoic acid||2-Keto-3-methylbutyric acid||2-Ketovaline||2-Oxo-3-methylbutanoate||2-Oxoisopentanoate||2-Oxoisovalerate||3-Methyl-2-oxobutanoate||3-Methyl-2-oxobutyric acid||alpha-Ketoisovalerate||alpha-Ketovaline	
C00143	MNXM1102150	mlthf	cpd00125	METHYLENE-THF	5,10-Methylenetetrahydrofolate||(6R)-5,10-Methylenetetrahydrofolate||5,10-Methylene-THF	
C00144	MNXM1101285	gmp	cpd00126	GMP	GMP||Guanosine 5'-monophosphate||Guanosine 5'-phosphate||Guanosine monophosphate||Guanylic acid	
C00145	MNXM54		cpd11622	Thiols	Thiol||Mercaptan	
C00146	MNXM320	phenol	cpd00127	PHENOL	Phenol||Benzenol||Hydroxybenzene||Phenic acid||Phenylic acid	kegg(2)
C00147	MNXM168	ade	cpd00128|cpd22238	ADENINE|ADENINE-RING	Adenine||6-Aminopurine	seed(2),metacyc(2)
C00148	MNXM114	pro__L	cpd00129|cpd15140	PRO	L-Proline||2-Pyrrolidinecarboxylic acid	kegg(2),seed(2)
C00149	MNXM1107192	mal__L	cpd00130|cpd30742	MAL|RS-Malate	(S)-Malate||L-2-Hydroxybutanedioic acid||L-Apple acid||L-Malate||L-Malic acid||Malate||Malic acid	kegg(2),seed(2),metacyc(2)
C00150	MNXM737841		cpd37275		Molybdenum	
C00151	MNXM381		cpd11623	L-Amino-Acids	L-Amino acid||L-2-Amino acid	
C00152	MNXM1107821	asn__L	cpd00132	ASN	L-Asparagine||2-Aminosuccinamic acid	
C00153	MNXM216	ncam	cpd00133	NIACINAMIDE	Nicotinamide||Niacinamide||Nicotinic acid amide||Vitamin PP	
C00154	MNXM1106160	pmtcoa	cpd00134	PALMITYL-COA	Palmitoyl-CoA||Hexadecanoyl-CoA	
C00155	MNXM123	hcys__L	cpd00135|cpd19034	CPD-25858|HOMO-CYS	L-Homocysteine||Homocysteine||L-2-Amino-4-mercaptobutyric acid	kegg(2),seed(2),metacyc(2)
C00156	MNXM164	4hbz	cpd00136	4-hydroxybenzoate	4-Hydroxybenzoate||4-Hydroxybenzoic acid||Hydroxybenzenecarboxylic acid||Hydroxybenzoic acid	
C00157	MNXM726687	pchol_hs			Phosphatidylcholine||1,2-Diacyl-sn-glycero-3-phosphocholine||3-sn-Phosphatidylcholine||Choline phosphatide||Lecithin||Phosphatidyl-N-trimethylethanolamine	
C00158	MNXM1107752	cit	cpd00137	CIT	Citrate||2-Hydroxy-1,2,3-propanetricarboxylic acid||2-Hydroxytricarballylic acid||Citric acid	
C00159	MNXM1364107	man	cpd00138	D-mannopyranose	D-Mannose||Carubinose||D-Mannopyranose||Mannose||Seminose	
C00160	MNXM222	glyclt	cpd00139|cpd12347	GLYCOLLATE|Ketoaldonates	Glycolate||Glycolic acid||Hydroxyacetic acid	seed(2),metacyc(2)
C00161	MNXM730321			2-Oxo-Acids|2-Oxo-carboxylates|Aromatic-Oxoacids	2-Oxo acid||2-Oxo carboxylate||2-Oxocarboxylate||2-Oxocarboxylic acid	metacyc(3)
C00162	MNXM739606				Fatty acid	
C00163	MNXM1094052	ppa|prpnte	cpd00141	PROPIONATE	Propanoate||Propanoic acid||Propionate||Propionic acid	bigg(2)
C00164	MNXM729595	acac	cpd00142	3-KETOBUTYRATE	Acetoacetate||3-Oxobutanoic acid||Acetoacetic acid||beta-Ketobutyric acid	
C00165	MNXM738569				Diacylglycerol||Diglyceride	
C00166	MNXM730221	phpyr	cpd00143	PHENYL-PYRUVATE	Phenylpyruvate||2-Oxo-3-phenylpropanoate||3-Phenyl-2-oxopropanoate||Phenylpyruvic acid||alpha-Ketohydrocinnamic acid||keto-Phenylpyruvate	
C00167	MNXM1104890	udpglcur	cpd00144	UDP-GLUCURONATE	UDP-glucuronate||UDP-D-glucuronate||UDP-alpha-D-glucuronate||UDPglucuronate	
C00168	MNXM392	hpyr	cpd00145	OH-PYR	Hydroxypyruvate||3-Hydroxypyruvate||3-Hydroxypyruvic acid||Hydroxypyruvic acid	
C00169	MNXM138	cbp	cpd00146	CARBAMOYL-P	Carbamoyl phosphate	
C00170	MNXM1101977	5mta	cpd00147	5-METHYLTHIOADENOSINE	5'-Methylthioadenosine||5'-Deoxy-5'-(methylsulfanyl)adenosine||5'-Deoxy-5'-(methylthio)adenosine||5-Methylthioadenosine||MTA||Methylthioadenosine||S-Methyl-5'-thioadenosine||Thiomethyladenosine	
C00171	MNXM737909				5'-Phosphomononucleotide||5'-Nucleotide	
C00173	MNXM729094				Acyl-[acyl-carrier protein]	
C00174	MNXM162495		cpd11629		Acid	
C00176	MNXM729100			Ox-NADPH-Hemoprotein-Reductases|Oxidized-Flavins|Oxidized-Flavoproteins	Flavin	metacyc(3)
C00177	MNXM1107738			CPD-13584	Cyanide ion||CN-||Cyanide||Cyano||Prussiate	
C00178	MNXM1369302	thym		THYMINE	Thymine||5-Methyluracil	
C00179	MNXM328	agm	cpd00152	AGMATHINE	Agmatine||(4-Aminobutyl) guanidine	
C00180	MNXM217	bz	cpd00153	BENZOATE	Benzoate||Benzenecarboxylic acid||Benzoic acid||Dracylic acid||Phenylformic acid	kegg(2)
C00181	MNXM169454	xyl__D	cpd00154|cpd28748	D-Xylopyranose	D-Xylose||Wood sugar	seed(2)
C00182	MNXM738131		cpd00155		Glycogen	
C00183	MNXM199	val__L	cpd00156|cpd15141	VAL	L-Valine||2-Amino-3-methylbutyric acid	kegg(2),seed(2)
C00184	MNXM460	dha	cpd00157	DIHYDROXYACETONE	Glycerone||1,3-Dihydroxy-2-propanone||1,3-Dihydroxyacetone||1,3-Dihydroxypropan-2-one||Dihydroxyacetone	
C00185	MNXM726888	cellb	cpd00158	CPD-15975	Cellobiose||1-beta-D-Glucopyranosyl-4-D-glucopyranose	
C00186	MNXM1371363	lac__L	cpd00159	CPD-24844|L-LACTATE	(S)-Lactate||L-Lactate||L-Lactic acid	metacyc(2)
C00187	MNXM726122	chsterol	cpd00160	CHOLESTEROL	Cholesterol||Cholest-5-en-3beta-ol	
C00188	MNXM142	thr__L	cpd00161	THR	L-Threonine||2-Amino-3-hydroxybutyric acid	
C00189	MNXM218	etha|etham	cpd00162	ETHANOL-AMINE	Ethanolamine||2-Hydroxyethylamine||Aminoethanol	bigg(2)
C00190	MNXM1363954	udpxyl	cpd00163	UDP-D-XYLOSE	UDP-D-xylose||UDP-alpha-D-xylose||UDP-xylose	
C00191	MNXM1105765	glcur	cpd00164	D-Glucopyranuronate	D-Glucuronate||Glucuronate||Glucuronic acid	
C00192	MNXM730229	ham	cpd00165	HYDROXYLAMINE	Hydroxylamine||NH2OH	
C00193	MNXM371	bzal	cpd00225|cpd11631	BENZALDEHYDE	Aromatic aldehyde	kegg(2),seed(2)
C00194	MNXM1104551	adocbl	cpd00166	ADENOSYLCOBALAMIN	Cobamide coenzyme||(5'-Deoxy-5'-adenosyl)cobamide coenzyme||(5,6-Dimethylbenzimidazolyl)cobamide coenzyme||5'-Deoxy-5'-adenosyl vitamin B12||5'-Deoxy-5'-adenosyl-5,6-dimethylbenzimidazolylcobamide||5'-Deoxy-5'-adenosylcobalamin||5,6-Dimethylbenzimidazolyl-5-deoxyadenosyl-cobamide||5,6-Dimethylbenzimidazolyl-Co-5'-deoxy-5'-adenosylcobamide||Adenosylcob(III)alamin||Adenosylcobalamin||Calomide||Cobalamin coenzyme||Cobamamide||Coenzyme B12||DMBC coenzyme||Deoxyadenosylcobalamin||Dibencozide||Funacomide||Vitamin B12 coenzyme||alpha-(5,6-Dimethylbenzimidazolyl)cobamide coenzyme	
C00195	MNXM1105908				N-Acylsphingosine||(4E)-Sphing-4-enine ceramide||Ceramide||N-Acylsphing-4-enine	
C00196	MNXM455	23dhb	cpd00168	2-3-DIHYDROXYBENZOATE	2,3-Dihydroxybenzoate||2,3-Dihydroxybenzoic acid	
C00197	MNXM727604	3pg	cpd00169|cpd30741	G3P	3-Phospho-D-glycerate||3-Phospho-(R)-glycerate||3-Phosphoglycerate||D-Glycerate 3-phosphate	kegg(2),seed(2)
C00198	MNXM1369177	g15lac	cpd00170|cpd21926|cpd26808	D-Aldonolactones|GLC-D-LACTONE	D-Glucono-1,5-lactone||1,5-Gluconolactone||D-Gluconolactone||Gluconic acid lactone||Gluconic lactone||Gluconolactone||delta-Gluconolactone	seed(3),metacyc(2)
C00199	MNXM145	ru5p__D	cpd00171	RIBULOSE-5P	D-Ribulose 5-phosphate	
C00200	MNXM38233		cpd00172	PMS	Phenazine methosulfate||5-Methylphenazinium methyl sulphate||N-Methylphenazonium methosulfate	
C00201	MNXM729016				Nucleoside triphosphate||NTP||Nucleoside 5'-triphosphate	
C00202	MNXM4574		cpd00174	DIISOPROPYL-FLUOROPHOSPHATE	Isoflurophate||DFP||Diisopropyl fluorophosphate	
C00203	MNXM1100890	uacgala|udpacgal	cpd00175|cpd35508	CPD-14795|UDP-N-ACETYL-GALACTOSAMINE	UDP-N-acetyl-D-galactosamine||UDP-N-acetyl-alpha-D-galactosamine	bigg(2),seed(2),metacyc(2)
C00204	MNXM440	2ddglcn	cpd00176	2-DEHYDRO-3-DEOXY-D-GLUCONATE	2-Dehydro-3-deoxy-D-gluconate||2-Dehydro-3-deoxy-D-gluconic acid||2-Keto-3-deoxy-D-gluconate	
C00205	MNXM162292		cpd11632		hn||Light||Photon||hnu	
C00206	MNXM735047	dadp	cpd00177	DADP	dADP||2'-Deoxyadenosine 5'-diphosphate	
C00207	MNXM398	acetone	cpd00178	ACETONE	Acetone||2-Propanone||Dimethyl ketone||Propan-2-one	
